img,output,flag,username,timestamp
"{""path"":""flagged\\img\\973382ea92f77cac5812\\22.png"",""url"":""http://127.0.0.1:7860/file=C:\\Users\\prati\\AppData\\Local\\Temp\\gradio\\27e3105cd13470cee586e975be164a3c961804a6\\22.png"",""size"":206780,""orig_name"":""22.png"",""mime_type"":""""}","{""path"":""flagged\\output\\e62342a35494630762f0\\image.png"",""url"":null,""size"":null,""orig_name"":""image.png"",""mime_type"":null}",,,2024-04-22 21:25:19.825728
flagged\img\8e691828f15f89e3b0a7\300.png,flagged\output\1f9bfcd95e12c1f5e311\image.webp,,,2024-05-18 21:04:11.874557
